"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Firmicutes","2|1239",49.77408,"","phylum","Firmicutes"
"k__Bacteria|p__Bacteroidota","2|976",41.4461,"","phylum","Bacteroidota"
"k__Bacteria|p__Pseudomonadota","2|1224",6.81042,"","phylum","Pseudomonadota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",1.24236,"","phylum","Thermodesulfobacteriota"
"k__Bacteria|p__Fusobacteriota","2|32066",0.45005,"","phylum","Fusobacteriota"
"k__Bacteria|p__Actinomycetota","2|201174",0.27151,"","phylum","Actinomycetota"
"k__Bacteria|p__Bacteria_unclassified","2|",0.00398,"","phylum","Bacteria_unclassified"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.001,"","phylum","Verrucomicrobiota"
"k__Bacteria|p__Myxococcota","2|2818505",5e-04,"","phylum","Myxococcota"
