"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Bacteroidota","2|976",54.86276,"","phylum","Bacteroidota"
"k__Bacteria|p__Firmicutes","2|1239",27.75304,"","phylum","Firmicutes"
"k__Bacteria|p__Pseudomonadota","2|1224",10.40979,"","phylum","Pseudomonadota"
"k__Bacteria|p__Actinomycetota","2|201174",6.69047,"","phylum","Actinomycetota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.16872,"","phylum","Thermodesulfobacteriota"
"k__Bacteria|p__Candidatus_Saccharibacteria","2|95818",0.11077,"","phylum","Candidatus_Saccharibacteria"
"k__Bacteria|p__Bacteria_unclassified","2|",0.00384,"","phylum","Bacteria_unclassified"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.00062,"","phylum","Verrucomicrobiota"
