"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Pseudomonadota","2|1224",37.14184,"","phylum","Pseudomonadota"
"k__Bacteria|p__Firmicutes","2|1239",35.40457,"","phylum","Firmicutes"
"k__Bacteria|p__Fusobacteriota","2|32066",21.19704,"","phylum","Fusobacteriota"
"k__Bacteria|p__Bacteroidota","2|976",5.91072,"","phylum","Bacteroidota"
"k__Bacteria|p__Actinomycetota","2|201174",0.34429,"","phylum","Actinomycetota"
"k__Bacteria|p__Bacteria_unclassified","2|",0.00154,"","phylum","Bacteria_unclassified"
