"feature","ERR11869477_humann_input_Abundance-RPKs"
"K02914",0.00051195
"K02913",0.000422198
"K03088",0.000304877
"K21572",0.00027412
"K02911",0.000263906
"K02907",0.000249497
"K02904",0.000196249
"K02954",0.000188129
"K02965",0.000182098
"K02518",0.000172887
"K02946",0.00016614
"K02887",0.000157265
"K01990",0.000142219
"K02906",0.000140978
"K02950",0.000140442
"K02355",0.000140306
"K02948",0.000139289
"K02890",0.000139151
"K02878",0.000138523
"K04078",0.000137749
"K00262",0.000136252
"K02874",0.000135622
"K02961",0.000133675
"K02004",0.000132223
"K03073",0.000130752
"K02963",0.000127879
"K02952",0.000126536
"K02931",0.000121704
"K02982",0.000121588
"K02003",0.000118514
