"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Bacteroidota","2|976",48.88836,"","phylum","Bacteroidota"
"k__Bacteria|p__Firmicutes","2|1239",40.60762,"","phylum","Firmicutes"
"k__Bacteria|p__Pseudomonadota","2|1224",8.95983,"","phylum","Pseudomonadota"
"k__Bacteria|p__Actinomycetota","2|201174",1.18049,"","phylum","Actinomycetota"
"k__Bacteria|p__Synergistota","2|508458",0.28505,"","phylum","Synergistota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.07164,"","phylum","Thermodesulfobacteriota"
"k__Bacteria|p__Fusobacteriota","2|32066",0.00498,"","phylum","Fusobacteriota"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.00199,"","phylum","Verrucomicrobiota"
"k__Bacteria|p__Bacteria_unclassified","2|",3e-05,"","phylum","Bacteria_unclassified"
