"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Bacteroidota","2|976",73.59796,"","phylum","Bacteroidota"
"k__Bacteria|p__Firmicutes","2|1239",23.41464,"","phylum","Firmicutes"
"k__Bacteria|p__Pseudomonadota","2|1224",2.03859,"","phylum","Pseudomonadota"
"k__Bacteria|p__Actinomycetota","2|201174",0.73105,"","phylum","Actinomycetota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.19823,"","phylum","Thermodesulfobacteriota"
"k__Bacteria|p__Fusobacteriota","2|32066",0.01775,"","phylum","Fusobacteriota"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.00178,"","phylum","Verrucomicrobiota"
