"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Bacteroidota","2|976",64.31462,"","phylum","Bacteroidota"
"k__Bacteria|p__Firmicutes","2|1239",32.50186,"","phylum","Firmicutes"
"k__Bacteria|p__Pseudomonadota","2|1224",1.91984,"","phylum","Pseudomonadota"
"k__Bacteria|p__Actinomycetota","2|201174",0.97106,"","phylum","Actinomycetota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.16007,"","phylum","Thermodesulfobacteriota"
"k__Bacteria|p__Candidatus_Melainabacteria","2|1798710",0.13139,"","phylum","Candidatus_Melainabacteria"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.00115,"","phylum","Verrucomicrobiota"
