"feature","ERR11869406_humann_input_Abundance-RPKs"
"K02913",0.000405651
"K03088",0.000116347
"K02950",0.000111228
"K02904",9.3914e-05
"K02907",9.27715e-05
"K02948",8.76704e-05
"K02874",8.63731e-05
"K02914",8.2562e-05
"K02952",7.99458e-05
"K02965",7.87069e-05
"K02911",7.80456e-05
"K19779",7.17355e-05
"K02961",6.79767e-05
"K02954",6.60971e-05
"K02902",6.3496e-05
"K02946",6.00629e-05
"K02004",5.67943e-05
"K02931",5.53866e-05
"K07729",5.50545e-05
"K02986",5.26565e-05
"K03496",5.12678e-05
"K02878",4.96743e-05
"K02003",4.92422e-05
"K14623",4.90111e-05
"K02518",4.79427e-05
"K01990",4.74051e-05
"K02992",4.65132e-05
"K02890",4.61456e-05
"K06147",4.60195e-05
"K02963",4.53605e-05
