"feature","ERR11869406_humann_input_Abundance"
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000202077
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000194665
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000181757
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000164229
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000159341
"TRPSYN-PWY: L-tryptophan biosynthesis",0.00011888
"PWY-6628: superpathway of L-phenylalanine biosynthesis",8.16457e-05
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",7.31625e-05
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",6.62913e-05
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",6.50601e-05
"PWY-6803: phosphatidylcholine acyl editing",5.84562e-05
"PWY-6305: superpathway of putrescine biosynthesis",5.52581e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",4.13816e-05
"ORNDEG-PWY: superpathway of ornithine degradation",3.08588e-05
"PWY-6630: superpathway of L-tyrosine biosynthesis",2.80421e-05
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",2.39671e-05
"AST-PWY: L-arginine degradation II (AST pathway)",1.03983e-05
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",8.90521e-06
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",7.89273e-06
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",7.89273e-06
"PWY-4984: urea cycle",7.65094e-06
"PWY0-1221: putrescine degradation II",2.80449e-06
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",9.39289e-07
"CARNMET-PWY: L-carnitine degradation I",6.33535e-07
