"feature","ERR11869413_humann_input_Abundance"
"PWY-7238: sucrose biosynthesis II",0.000829723
"VALSYN-PWY: L-valine biosynthesis",0.000637534
"PWY-1042: glycolysis IV",0.000635038
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate",0.000616834
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.00061338
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",0.000600538
"ARO-PWY: chorismate biosynthesis I",0.00059877
"PWY-5941: glycogen degradation II",0.000580385
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.00057653
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0.000559896
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.00055348
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000552836
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",0.000550611
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.000544651
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)",0.000544651
"PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)",0.000541023
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",0.00053907
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.000522518
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",0.000522263
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.000516748
