"feature","ERR11869413_humann_input_Abundance-RPKs"
"K03088",0.000241144
"K02004",0.000120179
"K06147",0.000113308
"K02057",0.000102122
"K21572",0.000100727
"K18220",9.93761e-05
"K02954",9.14928e-05
"K06919",8.87151e-05
"K01990",8.8663e-05
"K03655",8.31602e-05
"K02003",8.23579e-05
"K03496",7.82872e-05
"K07171",7.82002e-05
"K03671",7.74317e-05
"K14652",7.16244e-05
"K19157",7.09238e-05
"K02982",6.97907e-05
"K02926",6.86287e-05
"K07258",6.348e-05
"K02906",6.20524e-05
"K03324",6.18473e-05
"K03497",5.79002e-05
"K01956",5.78054e-05
"K01647",5.62496e-05
"K01338",5.62335e-05
"K18640",5.58684e-05
"K02357",5.58006e-05
"K07473",5.56906e-05
"K07720",5.55472e-05
"K01520",5.514e-05
