"tipo","funcion","abundancia"
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000395803
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000377087
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000356548
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000190438
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000180548
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.00017251
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000171146
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000164674
"pathway","PWY-4984: urea cycle",0.000157317
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000148679
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000143319
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",0.000102908
"pathway","PWY-6305: superpathway of putrescine biosynthesis",5.39332e-05
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",1.1893e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",6.15801e-06
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",2.51092e-06
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",1.77004e-06
"pathway","PWY-6803: phosphatidylcholine acyl editing",1.45026e-06
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",1.374e-06
"pathway","PWY-5180: toluene degradation I (aerobic) (via o-cresol)",1.01241e-06
"pathway","PWY-6562: norspermidine biosynthesis",4.95875e-07
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",3.6671e-07
