"feature","ERR11866154_humann_input_Abundance-RPKs"
"K21572",0.000837919
"K03088",0.000683543
"K02914",0.000644825
"K02913",0.000416641
"K02911",0.000263086
"K02907",0.000260569
"K07085",0.000248383
"K02004",0.000231783
"K02355",0.000220938
"K02916",0.000218052
"K00262",0.000210164
"K02078",0.000204702
"K02904",0.000195173
"K02564",0.000194882
"K02946",0.000165184
"K02968",0.000164733
"K02954",0.00016384
"K03073",0.000162414
"K02518",0.00016239
"K02992",0.000155575
"K02965",0.000155306
"K02963",0.000152705
"K02887",0.000152256
"K02902",0.00015078
"K02899",0.000148002
"K07568",0.000146549
"K01915",0.000145683
"K02956",0.000144654
"K01951",0.000144515
"K02950",0.000142041
