"feature","ERR11866124_humann_input_Abundance"
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000326268
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000317507
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000312356
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000286377
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000284208
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000278174
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000277338
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000224596
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.00021677
"PWY-4984: urea cycle",0.000163128
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.00014407
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000124611
"PWY-6305: superpathway of putrescine biosynthesis",0.000101814
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",9.69095e-05
"ORNDEG-PWY: superpathway of ornithine degradation",7.16158e-05
"PWY-6803: phosphatidylcholine acyl editing",7.12349e-05
"PWY-6630: superpathway of L-tyrosine biosynthesis",4.99892e-05
"AST-PWY: L-arginine degradation II (AST pathway)",3.04226e-05
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",2.28427e-05
"CARNMET-PWY: L-carnitine degradation I",5.6156e-06
"PWY0-1221: putrescine degradation II",3.31638e-06
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",2.47224e-06
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",2.47224e-06
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",1.78466e-06
