#mpa_vJun23_CHOCOPhlAnSGB_202306
#/home/jgarrote730/miniforge3/envs/env_perfect/bin/metaphlan /home/jgarrote730/tfg_ckd/cleaned_data/ERR11869471_knead/ERR11869471_1_kneaddata_paired_1.fastq,/home/jgarrote730/tfg_ckd/cleaned_data/ERR11869471_knead/ERR11869471_1_kneaddata_paired_2.fastq --input_type fastq --nproc 8 --bt2_ps sensitive-local --bowtie2out /home/jgarrote730/tfg_ckd/cleaned_data/ERR11869471_knead/ERR11869471_bowtie2.bz2 -o /home/jgarrote730/tfg_ckd/cleaned_data/ERR11869471_knead/ERR11869471_metaphlan_profile.txt
#15039238 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.44419	
k__Archaea	2157	0.55581	
k__Bacteria|p__Bacteroidota	2|976	44.32694	
k__Bacteria|p__Firmicutes	2|1239	39.43471	
k__Bacteria|p__Actinomycetota	2|201174	15.27428	
k__Archaea|p__Methanobacteriota	2157|28890	0.55581	
k__Bacteria|p__Pseudomonadota	2|1224	0.28676	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.10726	
k__Bacteria|p__Lentisphaerota	2|256845	0.01211	
k__Bacteria|p__Bacteria_unclassified	2|	0.00214	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	44.09396	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	19.67926	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	16.44929	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	12.42095	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	2.39476	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.83279	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.72123	
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	0.55581	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.32551	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.28676	
k__Bacteria|p__Actinomycetota|c__CFGB2992	2|201174|	0.24632	
k__Bacteria|p__Firmicutes|c__CFGB73223	2|1239|	0.22119	
k__Bacteria|p__Actinomycetota|c__CFGB77988	2|201174|	0.21132	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.18292	
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.16874	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.15974	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.1333	
k__Bacteria|p__Firmicutes|c__CFGB92044	2|1239|	0.11103	
k__Bacteria|p__Bacteroidota|c__CFGB95179	2|976|	0.10862	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.10726	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.09442	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.08867	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.06025	
k__Bacteria|p__Bacteroidota|c__CFGB87848	2|976|	0.03681	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.03349	
k__Bacteria|p__Bacteroidota|c__CFGB56395	2|976|	0.03263	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.03251	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.02675	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.01616	
k__Bacteria|p__Firmicutes|c__CFGB88381	2|1239|	0.0134	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.01285	
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.01233	
k__Bacteria|p__Lentisphaerota|c__Lentisphaeria	2|256845|1313211	0.01211	
