"feature","ERR11869396_humann_input_Abundance-RPKs"
"K07480",0.000519032
"K07235",0.000313054
"K02907",0.000289401
"K07483",0.000237156
"K03704",0.000218477
"K19779",0.000201383
"K02904",0.000188886
"K02965",0.000186241
"K02948",0.000172413
"K02954",0.000172372
"K02914",0.000162807
"K07497",0.000155407
"K02950",0.000142417
"K02996",0.000138986
"K02518",0.000138305
"K02890",0.000137999
"K02874",0.000135181
"K10112",0.00013271
"K02886",0.000125326
"K02867",0.000122811
"K02986",0.000122763
"K03060",0.00011646
"K18220",0.000110271
"K02967",0.000109845
"K02913",0.000107076
"K02899",0.000104631
"K02992",0.000104599
"K02909",9.91672e-05
"K02911",9.25367e-05
"K01815",8.85499e-05
