"feature","ERR11869188_humann_input_Abundance-RPKs"
"K07496",0.00206029
"K02913",0.000562678
"K05845",0.00028683
"K03088",0.000231772
"K02919",0.000207867
"K02914",0.000200091
"K02954",0.00019805
"K06147",0.000189837
"K02911",0.000188614
"K02965",0.000182978
"K02899",0.000162621
"K02950",0.000160795
"K02878",0.000156232
"K09747",0.000135222
"K02078",0.000134606
"K02909",0.000129413
"K02110",0.000128836
"K02884",0.000126555
"K02904",0.000125383
"K02906",0.000122863
"K01770",0.000122358
"K02986",0.000120577
"K02948",0.000120076
"K02946",0.000119863
"K02952",0.000118109
"K01990",0.000117804
"K01874",0.000111778
"K02874",0.000109662
"K18220",0.000109625
"K02935",0.000104047
