"feature","ERR11868980_humann_input_Abundance-RPKs"
"K21572",0.00119355
"K03088",0.000913145
"K02913",0.000835716
"K02914",0.000624497
"K02004",0.000295534
"K02907",0.000265815
"K01990",0.000233722
"K02911",0.000227379
"K02078",0.00022032
"K07085",0.000204079
"K02005",0.000194599
"K02003",0.000182371
"K02961",0.000174891
"K00566",0.000174135
"K02518",0.000170535
"K03497",0.000170299
"K02904",0.000168894
"K02355",0.000164641
"K00262",0.000163914
"K00850",0.000155639
"K02965",0.000155475
"K02963",0.000154911
"K02970",0.000154087
"K02968",0.000151202
"K02110",0.000151113
"K01915",0.000146846
"K02899",0.000144065
"K02956",0.000143822
"K02926",0.000143506
"K02950",0.000143125
