"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Firmicutes","2|1239",61.18699,"","phylum","Firmicutes"
"k__Bacteria|p__Bacteroidota","2|976",30.59822,"","phylum","Bacteroidota"
"k__Bacteria|p__Pseudomonadota","2|1224",5.9466,"","phylum","Pseudomonadota"
"k__Bacteria|p__Actinomycetota","2|201174",1.69047,"","phylum","Actinomycetota"
"k__Bacteria|p__Fusobacteriota","2|32066",0.54495,"","phylum","Fusobacteriota"
"k__Bacteria|p__Candidatus_Saccharibacteria","2|95818",0.0287,"","phylum","Candidatus_Saccharibacteria"
"k__Bacteria|p__Bacteria_unclassified","2|",0.00408,"","phylum","Bacteria_unclassified"
