"feature","ERR11869437_humann_input_Abundance-RPKs"
"K21572",0.000719208
"K03088",0.000357305
"K02004",0.000155813
"K03496",0.000131704
"K02906",0.000118167
"K07085",0.000115023
"K02016",0.00011259
"K06147",0.000106575
"K01881",9.78013e-05
"K02961",9.59679e-05
"K02357",9.40235e-05
"K02874",9.33717e-05
"K02564",8.93921e-05
"K07133",8.88077e-05
"K03497",8.87936e-05
"K01990",8.7543e-05
"K02926",8.7223e-05
"K02355",8.70092e-05
"K02895",8.38153e-05
"K02996",8.3521e-05
"K00059",8.19963e-05
"K03596",7.92749e-05
"K02982",7.91294e-05
"K00850",7.9124e-05
"K01939",7.90407e-05
"K03551",7.8024e-05
"K01992",7.69915e-05
"K01591",7.35726e-05
"K02931",7.33577e-05
"K02988",7.15075e-05
