"feature","ERR11869437_humann_input_Abundance"
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000433576
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000392175
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000380233
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000363159
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000334774
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000321126
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000317819
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000200789
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000164791
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000136672
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000120955
"PWY-4984: urea cycle",0.00011015
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",9.86247e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",8.65291e-05
"PWY-6305: superpathway of putrescine biosynthesis",8.15277e-05
"ORNDEG-PWY: superpathway of ornithine degradation",4.57383e-05
"PWY-6803: phosphatidylcholine acyl editing",4.23577e-05
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",3.13985e-05
"PWY-5180: toluene degradation I (aerobic) (via o-cresol)",2.37639e-05
"AST-PWY: L-arginine degradation II (AST pathway)",1.33322e-05
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",7.48853e-06
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",5.9672e-06
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",5.9672e-06
"PWY0-1221: putrescine degradation II",2.33006e-06
